timestamp,range_regime,S1_direction,S1_pct_change,S1_range,S2_direction,S2_pct_change,S2_range,S3_direction,S3_pct_change,S3_range,S4_direction,S4_pct_change,S4_range
2021-04-06 00:00:00+00:00,Low Range,Down,-0.5200579305,957.5,Down,-0.528070613,688.52,Down,-0.5379872124,1616.71,Down,-0.4264888909,747.21
2021-04-07 00:00:00+00:00,Low Range,Up,0.4690148123,1115.28,Down,-3.352533099,2888.64,Down,-0.4498524498,1318.53,Down,-0.1821974636,1087.27
2021-04-08 00:00:00+00:00,High Range,Up,1.589859147,1370.36,Down,-0.737726364,1013.64,Up,2.284061507,1649,Up,0.5916016894,698.01
2021-04-09 00:00:00+00:00,Low Range,Down,-0.2065966048,606,Up,1.012484906,1250,Down,-0.2518855575,929.05,Down,-0.4559864975,725
2021-04-10 00:00:00+00:00,Low Range,Up,4.81339053,3856.05,Down,-0.4776446714,699,Down,-0.7498224851,882.45,Down,-0.6600863357,1812.42
2021-04-11 00:00:00+00:00,High Range,Down,-0.0718005269,1186.98,Up,0.05383891177,822.98,Up,0.2303847419,777.68,Up,0.2138689262,792.95
2021-04-12 00:00:00+00:00,Low Range,Up,0.2956071946,1057.33,Up,0.1044948897,1949.91,Down,-0.8542625617,1020,Up,0.1530099223,596.92
2021-04-13 00:00:00+00:00,Low Range,Up,1.396500387,1326.99,Up,3.816148148,2908,Up,0.565439534,1232.15,Up,0.3529317537,1135.64
2021-04-14 00:00:00+00:00,High Range,Up,0.8056557423,1601.98,Up,0.725118267,1884.27,Down,-3.48750229,2400.61,Up,1.041842534,1754.38
2021-04-15 00:00:00+00:00,High Range,Up,0.2599084647,1149.86,Down,-1.148746952,1234.11,Up,0.3736556665,764.11,Up,0.8579840318,1291.47
2021-04-16 00:00:00+00:00,Low Range,Down,-2.103837011,2169.09,Down,-1.555306956,1802.25,Up,1.180761634,1602.88,Down,-0.3800903128,961.01
2021-04-17 00:00:00+00:00,High Range,Up,1.325721408,1408.81,Down,-2.032487995,1784,Down,-1.991488502,1631.73,Up,0.5529478896,1415.16
2021-04-18 00:00:00+00:00,Normal Range,Down,-7.459360221,10400,Down,-4.056147741,3459.4,Up,3.407091224,2700.38,Up,1.763863093,1677.77
2021-04-19 00:00:00+00:00,High Range,Up,0.6548800722,1582.1,Up,1.155400061,1312.7,Down,-3.16754953,3010.45,Up,0.5138030714,1326.22
2021-04-20 00:00:00+00:00,High Range,Down,-1.18780869,2185.84,Up,2.395323837,3119.18,Down,-0.7237432775,1824.99,Up,0.9410634226,1339.03
2021-04-21 00:00:00+00:00,High Range,Down,-1.79263888,1808.5,Down,-1.523447378,1561,Up,1.77311881,2071.61,Down,-3.08499554,2118.09
2021-04-22 00:00:00+00:00,Normal Range,Up,1.245289501,2126,Up,0.7720064529,2164.95,Down,-2.561548853,2026.51,Down,-3.294482536,3166.71
2021-04-23 00:00:00+00:00,High Range,Down,-4.194055762,3715.81,Up,1.078943714,2744.86,Down,-0.4389155406,1734.93,Up,2.531425715,1611.9
2021-04-24 00:00:00+00:00,High Range,Down,-1.236497418,1839.28,Down,-2.725483012,1861.69,Up,2.118550891,1449,Down,-0.1233195592,1098.84
2021-04-25 00:00:00+00:00,Low Range,Down,-0.523752517,1024.89,Down,-0.5305983038,1186.83,Up,0.7555170356,1106.9,Down,-1.757903739,3029.57
2021-04-26 00:00:00+00:00,High Range,Up,7.096372611,3993.18,Up,1.991180631,1414.57,Up,0.8073966264,1502.89,Down,-0.07470658323,1689.95
